UMAP1,UMAP2,UMAP3,plaque_distance
4.702174,2.970139,4.44457,776.6071928336703
4.9476895,0.78410345,8.085532,1337.2183739101613
4.73746,1.3435372,9.1545515,312.558856166086
5.7697983,1.5296826,4.881557,1250.9315108862593
6.2872367,2.064626,4.786139,856.9997808468584
-0.3960495,-0.6362596,3.7212248,1058.0903987728223
4.5345454,-0.4352533,3.8821476,1227.1000368427276
2.5687575,1.9682261,6.4337645,501.7182003193129
5.0335245,1.5647233,9.44276,264.5720150715861
4.2018847,1.249169,8.657006,610.3219925874067
2.664561,1.9086326,6.822458,1528.2439041051532
0.11080045,0.7921426,7.208806,174.7767810931467
2.7913952,3.9604979,3.9223146,214.47501681687964
-0.055047583,2.1373699,8.541325,445.72209180239736
2.6185896,1.8420542,7.55047,1265.2400244997377
2.3276634,-0.81152534,3.260964,1236.3094412857838
2.2654786,2.0337932,5.655259,1202.6624674806187
-0.6217458,-0.5245354,6.4869323,1057.097320239854
4.1707544,1.7600508,2.770376,255.72855056416208
4.303777,1.7849723,4.0697265,703.1712126555922
-0.10128483,0.27794883,5.752847,285.54104768410235
5.4848247,-0.20777662,4.3532066,836.1697840261112
0.13002604,-0.55257696,3.3846762,913.0511926675574
1.8329248,3.1392157,4.1282196,435.2087175674597
1.5259852,0.095109224,5.6752114,345.7407861074445
0.6073202,2.2513,7.7888227,90.74479634992653
4.06117,0.26389027,6.4637046,441.71902260944086
-0.57723784,0.8485323,3.9641557,707.6055721329454
4.053872,2.4679885,3.5632296,294.03721783309794
3.3524911,-1.0325966,5.660433,137.73095434425588
3.6466558,-0.13235024,3.466884,242.42931267342885
5.0391083,2.557347,4.1145267,1123.807918781141
3.8086655,-0.8233788,6.0907307,692.1719577798281
4.3906484,3.6526515,5.371203,1677.9724668325819
6.644912,1.6020187,4.437461,692.9444385321857
3.8862374,1.0727242,4.241826,381.35413623229215
5.550646,2.2530508,5.619542,466.0543654370174
5.576726,1.6168927,4.7370787,178.81302919986953
