UMAP1,UMAP2,cell_type,distance_bin,plaque_distance
0.6886399,0.05352339,Astrocyte,>200um (far),1371.7973874604054
3.0986772,2.5605502,Microglia,>200um (far),823.5522295246478
2.9852078,3.118541,Microglia,>200um (far),359.3834636919747
4.8469114,1.3975486,Oligodendrocyte,100-200um,177.77444451923293
-3.0217166,0.89583176,Microglia,>200um (far),705.9134436880845
0.7099083,2.1241944,Astrocyte,>200um (far),246.90922626048402
2.6098254,1.2644062,Astrocyte,>200um (far),414.74707301723856
2.93944,3.9343553,Microglia,>200um (far),1126.4144473317494
3.794759,-1.1652821,Neuron,>200um (far),744.4125645668685
5.4720006,3.2202668,Neuron,>200um (far),1253.8065604021133
1.3354746,2.3763824,Neuron,>200um (far),1132.8450534353185
-2.9313629,0.8106803,Microglia,>200um (far),1143.1931545036173
3.182635,1.7496253,Astrocyte,>200um (far),1448.5310070394833
0.66437346,-0.8697659,Oligodendrocyte,>200um (far),1397.9429345896465
4.6293254,3.1092045,Oligodendrocyte,>200um (far),902.9654039391959
4.7446604,1.4103402,Astrocyte,>200um (far),350.6975539197844
-0.5274229,-0.8233837,Oligodendrocyte,>200um (far),957.7964883533389
3.933807,1.1198319,Astrocyte,>200um (far),304.04668443199375
3.2153165,2.582514,Microglia,>200um (far),1159.4905698091527
4.413192,2.0906396,Astrocyte,100-200um,166.21636885732264
3.2169442,1.4759908,Oligodendrocyte,>200um (far),639.1427271714351
2.8442204,1.8956972,Neuron,>200um (far),348.96986898569173
4.8898196,1.6160223,Neuron,>200um (far),640.7226487826487
1.2270138,-0.81559795,Oligodendrocyte,>200um (far),1174.4348737658033
0.07881888,-0.5793674,Microglia,>200um (far),487.77297714750534
2.9793878,3.8439267,Oligodendrocyte,>200um (far),729.7638811718817
0.35253006,0.5026032,Oligodendrocyte,>200um (far),1952.7898666481628
-1.739845,0.50180477,Neuron,>200um (far),1444.824373918981
3.3252754,-1.6420146,Astrocyte,>200um (far),1175.8942748018014
2.7624369,3.7795255,Astrocyte,>200um (far),748.933584527624
3.8161674,2.8870974,Astrocyte,>200um (far),1792.5757929657325
3.3633542,3.604831,Neuron,>200um (far),519.5599754219274
3.539294,1.8324744,Neuron,>200um (far),331.35660826837045
0.086663574,-0.34517998,Oligodendrocyte,>200um (far),807.1093632730845
3.979009,3.2049642,Microglia,>200um (far),759.5757463046829
-0.24071044,-0.75579053,Oligodendrocyte,>200um (far),832.6605936799565
3.3379138,0.7884188,Astrocyte,>200um (far),924.1289000659172
4.9003615,1.627544,Neuron,100-200um,172.87927652780195
1.5546064,2.168058,Astrocyte,>200um (far),1043.7012128648962
3.0432875,3.0335493,Microglia,>200um (far),1440.796094296041
3.9455597,2.7621818,Astrocyte,>200um (far),539.7475093415615
2.6049156,-1.6597172,Microglia,>200um (far),1115.711354417251
2.8017027,1.5211214,Astrocyte,100-200um,173.2108801094445
2.6437674,0.7202571,Microglia,>200um (far),895.9802677971721
3.1007905,2.3021386,Microglia,>200um (far),786.7728305046802
3.4959846,-0.52839094,Astrocyte,>200um (far),670.6367342154495
0.38896155,-0.63339424,Oligodendrocyte,>200um (far),700.0485082860879
3.7721767,-0.039138485,Neuron,>200um (far),672.3075519292678
3.1162035,2.6168258,Microglia,>200um (far),412.33497875935336
2.6954346,2.1698718,Microglia,>200um (far),1198.0341122346783
2.1700947,1.1146708,Astrocyte,>200um (far),521.7786500156608
1.3897337,2.649578,Oligodendrocyte,>200um (far),1436.0489080666912
3.6103983,2.7976403,Neuron,>200um (far),603.305200455433
6.557057,1.572709,Neuron,>200um (far),744.5555281205751
1.411219,-1.1862053,Oligodendrocyte,>200um (far),708.0226554419492
3.1369858,2.214724,Microglia,>200um (far),1065.9948741340063
4.255341,1.3841981,Microglia,>200um (far),429.12397326794957
3.9367793,0.8183791,Astrocyte,100-200um,184.01912694013865
4.6204457,-1.129562,Microglia,>200um (far),1916.2958810770726
4.411767,1.7471744,Microglia,>200um (far),928.6265431272822
4.7029486,3.165188,Microglia,>200um (far),417.52934077619267
4.3279524,3.6257925,Microglia,>200um (far),778.0521593524213
3.9241683,1.3262627,Astrocyte,>200um (far),971.2580375094929
3.996513,1.0766537,Astrocyte,>200um (far),692.6973197978668
2.5704312,2.2908783,Astrocyte,>200um (far),543.6796175474676
3.4195125,2.3162642,Microglia,>200um (far),298.11076281532564
3.5132508,1.5252675,Microglia,>200um (far),400.94634177288015
2.5545073,0.049338885,Neuron,>200um (far),335.23272065212893
-2.70334,0.7116394,Microglia,>200um (far),502.15585427739137
5.416212,-0.03262588,Neuron,>200um (far),641.8025562390492
2.8045638,3.8934896,Microglia,>200um (far),511.96479663646966
-0.33146727,-0.9555383,Microglia,>200um (far),844.7885777076701
4.880839,1.4538548,Neuron,>200um (far),505.47443509592966
0.13389087,1.0574133,Neuron,>200um (far),296.7356023849436
3.357377,2.0078878,Neuron,>200um (far),760.1776741552954
3.6796455,-1.1086367,Neuron,>200um (far),395.47969872341474
4.1127315,1.5989329,Microglia,>200um (far),1300.0441394199274
3.7295897,2.0491328,Neuron,>200um (far),493.89572119055333
2.5901024,-0.7902592,Astrocyte,100-200um,172.3623320764081
1.1449136,4.1610436,Microglia,>200um (far),948.7725702307204
3.3298085,3.3250597,Neuron,>200um (far),774.1856425110652
2.3539968,-0.71799505,Microglia,>200um (far),1222.6634752976681
3.820663,0.22940814,Microglia,>200um (far),290.57204517624973
1.7212414,-1.3760839,Microglia,>200um (far),358.81943808318766
1.8224508,0.22437815,Astrocyte,>200um (far),914.7825021017328
3.2348628,-0.9267614,Astrocyte,>200um (far),948.8664867701231
3.6372283,1.2003077,Microglia,>200um (far),1668.2902287881016
4.4175296,2.8305705,Neuron,>200um (far),872.4776072382004
-0.23693003,0.40777153,Oligodendrocyte,>200um (far),307.5489173138492
4.1223745,2.1602533,Astrocyte,>200um (far),2034.6552125163075
2.9750855,1.7804066,Microglia,>200um (far),1524.9065361220025
3.2798212,-1.6211293,Neuron,>200um (far),1014.0945647547236
0.10090612,2.7490263,Microglia,>200um (far),1065.3185977088212
1.7864617,2.687949,Oligodendrocyte,100-200um,145.24123640159522
-0.4473319,0.7962874,Oligodendrocyte,>200um (far),988.0949083555317
0.48434997,-1.6620717,Oligodendrocyte,>200um (far),680.6271045609802
5.8180265,2.0111039,Microglia,>200um (far),337.5238617073917
0.060665812,0.58926785,Astrocyte,>200um (far),1209.598560874791
-0.23929006,0.98269576,Microglia,>200um (far),1491.0404854681274
5.439655,2.7848878,Microglia,>200um (far),1987.9440874363538
3.8939996,3.7033775,Microglia,>200um (far),215.49713600355037
2.8750508,1.5373293,Oligodendrocyte,>200um (far),1090.7041015298742
3.832971,2.7422855,Neuron,>200um (far),750.1272136298013
-0.29168794,-0.94096154,Oligodendrocyte,>200um (far),806.2789116613224
3.6577237,-0.5072542,Microglia,>200um (far),908.1772397037713
1.9705865,-1.022778,Neuron,>200um (far),985.6366960476902
5.145715,1.9866141,Neuron,>200um (far),867.8995857489676
0.835447,4.1861563,Astrocyte,100-200um,105.70496637852585
3.056704,1.9119207,Microglia,>200um (far),593.5009071110333
-0.5865943,-0.5264602,Oligodendrocyte,>200um (far),1151.3836474970371
3.20645,1.3176343,Astrocyte,>200um (far),266.23152527018067
3.52271,-0.59012395,Microglia,>200um (far),597.1408658132646
4.4655094,0.90041184,Astrocyte,100-200um,159.16299303882803
-1.6192923,0.18118207,Oligodendrocyte,>200um (far),252.51096666329477
5.3043857,1.4972683,Neuron,>200um (far),469.80437048450057
3.5699363,-1.30668,Oligodendrocyte,>200um (far),880.7357819947229
1.4108435,4.182381,Neuron,>200um (far),494.63459430068974
1.607926,1.0793723,Microglia,>200um (far),1036.2097199253867
3.3812246,1.1098859,Neuron,>200um (far),748.064617858296
6.0417094,1.8577297,Microglia,50-100um,79.40845884170207
1.6406192,-1.246224,Astrocyte,>200um (far),598.3573883826604
